	SRR21726537_dairy1	SRR21726538_dairy2	SRR21726539_dairy3	SRR21726540_dairy4	SRR21726541_dairy5	SRR21726542_dairy6	SRR21726543_dairy7	SRR21726544_dairy8	SRR21726545_meat1	SRR21726546_meat2	SRR21726547_meat3	SRR21726548_meat4	SRR21726549_meat5	SRR21726550_meat6	SRR21726551_meat7	SRR21726552_meat8
ASV_146	0	0	639	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_147	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_148	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_149	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_150	0	0	630	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_151	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_152	0	0	609	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_153	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_154	0	0	586	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_155	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_156	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_157	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_158	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_159	0	0	0	0	0	0	0	0	0	567	0	0	0	0	0	0
ASV_160	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_161	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_162	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_163	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_164	0	0	0	0	0	0	0	0	0	541	0	0	0	0	0	0
ASV_165	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_166	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_167	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_168	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_169	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_170	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_171	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_172	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_173	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_174	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_175	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_176	0	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_177	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_178	0	0	508	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_179	0	0	503	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_180	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_181	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_182	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_183	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_184	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_185	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_186	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_187	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_188	0	0	0	0	0	0	0	0	0	477	0	0	0	0	0	0
ASV_189	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_190	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_191	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_192	0	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_193	0	0	469	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_194	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_195	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_196	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_197	0	0	458	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_198	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_199	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_200	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_201	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_202	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_203	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_204	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_205	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_206	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0
ASV_208	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_209	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_210	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_211	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_212	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0
ASV_213	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_214	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_215	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_216	0	0	423	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_217	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_218	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_219	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_220	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_221	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_222	0	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	0
ASV_224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	0
ASV_225	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_226	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_227	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_228	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_229	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0
ASV_230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0
ASV_231	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_232	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_233	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
